userId,wine,rate
91cf68cc-9436-43e1-871d-33beef4d2337,Vistamar Cabernet Sauvignon Reserva,1
877019f9-3c77-491d-912e-58b2404aed47,Chianti,1
eadb1fb9-7260-4618-aa5a-8f2ebdca2077,Bread & Butter Pinor Noir 2020,1
c88644be-2c9b-42f0-9c4b-7f8e81795f43,Terrano,1
bc79b0e3-064d-4240-86de-e86499f577e8,2/5 大亂鬥 2,1
bc79b0e3-064d-4240-86de-e86499f577e8,3／4 大亂鬥 11,1
bc79b0e3-064d-4240-86de-e86499f577e8,3／4 大亂鬥 6,1
4e0cbfe3-8d73-4af4-b09e-f3193d1170a5,Zahorra Blanca,1
f8c400a6-ded1-40b8-95d2-a263d05c30ce,Montepulciano 60,1
ecc462e1-5041-43ca-94c3-c2bfc9b3215e,Merlot  le vigne di zamo,1
ecc462e1-5041-43ca-94c3-c2bfc9b3215e,le vigne di zamo refosco,1
ecc462e1-5041-43ca-94c3-c2bfc9b3215e,Friulano,1
20e0b694-84a5-4f11-9191-598f924c2947,Morellino di Scansano 2021,1
e5b0e77a-ed45-4436-a771-6e01c5782973,Campofiorin Rosso Veronese,1
4ed273f7-1816-4f36-88c7-789125f011c7,Moscato d'Asti,1
bf82194f-6108-4524-9cef-69c0231ac74b,Nerello mascalese,1
5ccd8030-047b-432c-a630-d784ab415756,Bardolino Chiaretto,1
014e4ed1-6f8b-4b25-917d-c167a2acca17,New Wine,1
7f6dede6-b8b5-4bb6-a1ca-ae58c79c0ea7,Rheinhessen Kabinett Riesling,1
d838a526-4b0a-4fad-b54f-90b6ca321fca,Shiraz,2
91cf68cc-9436-43e1-871d-33beef4d2337,Kellermeister Barossa Vineyards,2
91cf68cc-9436-43e1-871d-33beef4d2337,Hermitage,2
91cf68cc-9436-43e1-871d-33beef4d2337,Legitimo Carinena,2
91cf68cc-9436-43e1-871d-33beef4d2337,St. Hallett Barossa,2
91cf68cc-9436-43e1-871d-33beef4d2337,Bubbly Pinot Grigio (Champagne),2
91cf68cc-9436-43e1-871d-33beef4d2337,Sacred Hill Whitecliff Marlborough,2
91cf68cc-9436-43e1-871d-33beef4d2337,Sacred Hill Pinot Noir,2
91cf68cc-9436-43e1-871d-33beef4d2337,Bella Cabernet Sauvignon,2
91cf68cc-9436-43e1-871d-33beef4d2337,Pinot Grigio,2
91cf68cc-9436-43e1-871d-33beef4d2337,E. Guigal Cotes du Rhone Blended,2
91cf68cc-9436-43e1-871d-33beef4d2337,Gran Malbec,2
91cf68cc-9436-43e1-871d-33beef4d2337,Chardonnay,2
877019f9-3c77-491d-912e-58b2404aed47,Chianti,2
3da6eec4-bd99-4370-be23-676baf750f19,Monterey Pinot Noir,2
3b1f7bc8-6a23-47e5-97df-043bd1b97f12,White cava,2
c88644be-2c9b-42f0-9c4b-7f8e81795f43,Bollicina,2
a94874d2-6af9-4651-a1d3-036ed714f2cb,pelaverga,2
25a04c51-5638-42f0-b2e7-ce49b1c280fc,Primitivo Manduria,2
25a04c51-5638-42f0-b2e7-ce49b1c280fc,Rosso di Montalcino,2
55851c14-2fd7-4f7e-b4de-b45e14825ac3,Riesling Goldmund Feinherb,2
c2dfb861-cdad-4fb2-9460-fc794c7f6cad,Merlot (U),2
441ac739-42f8-48d2-9526-fdedf2d4852f,Terrano,2
441ac739-42f8-48d2-9526-fdedf2d4852f,Vitovska acciaio,2
bc79b0e3-064d-4240-86de-e86499f577e8,Les Grands Blancs,2
bc79b0e3-064d-4240-86de-e86499f577e8,Firesteed Centerstone Unoaked Chardonnay,2
36fec3ea-e183-491d-b65a-6c7ac90fafa5,Merlot,2
9a3cc655-c88e-4c1b-95e2-add7579ff4c2,Terrano,2
f8c400a6-ded1-40b8-95d2-a263d05c30ce,Bolgheri+,2
f8c400a6-ded1-40b8-95d2-a263d05c30ce,Bolgheri+,2
f8c400a6-ded1-40b8-95d2-a263d05c30ce,Ater,2
f8c400a6-ded1-40b8-95d2-a263d05c30ce,Sizzano,2
f8c400a6-ded1-40b8-95d2-a263d05c30ce,Barolo,2
f8c400a6-ded1-40b8-95d2-a263d05c30ce,Barolo,2
f8c400a6-ded1-40b8-95d2-a263d05c30ce,Pinot grigio,2
f8c400a6-ded1-40b8-95d2-a263d05c30ce,Pinot grigio,2
f8c400a6-ded1-40b8-95d2-a263d05c30ce,Corvina ,2
f8c400a6-ded1-40b8-95d2-a263d05c30ce,Corvina ,2
f8c400a6-ded1-40b8-95d2-a263d05c30ce,Blanc del Noirs,2
