userId,wine,rate
5ccd8030-047b-432c-a630-d784ab415756,Valpolicella Ripasso,3
df904a46-c461-4233-9d44-6ac11a8bbddc,Astrale,3
f8c400a6-ded1-40b8-95d2-a263d05c30ce,Bricco Riva Bianca ,3
bc79b0e3-064d-4240-86de-e86499f577e8,3/11 Syrah and blend #4,3
5ccd8030-047b-432c-a630-d784ab415756,Valpolicella Ripasso Classico Superiore Pojega,4
b2dd097f-fad9-4daa-9218-d21128ec9ab9,Bricco delle Ciliegie Arneis Roero,5
876b7023-bbf0-4bd8-a341-61ae5bc4b38f,Kerner,4
c88644be-2c9b-42f0-9c4b-7f8e81795f43,Vitovska acciaio,3
76b71bb0-6cc9-4168-8a45-bbafc1e9a256,Brachetto Piemonte,4
2a62eecd-b0cd-4395-9f8c-7c912a208be2,Reserva Rioja,5
76b71bb0-6cc9-4168-8a45-bbafc1e9a256,Pinot Grigio,4
df904a46-c461-4233-9d44-6ac11a8bbddc,Passerina  Terre di Chieti  IGP,4
f8c400a6-ded1-40b8-95d2-a263d05c30ce,Lagrein,3
bc79b0e3-064d-4240-86de-e86499f577e8,3／4 大亂鬥 9,4
a0ef6b50-093e-4ae1-8e3c-58a2a17d2bb8,Spier Cabernet Sauvignon,4
4eb7031c-da00-48f4-bc7f-0a1f1eda7cab,Malvasia,5
f8c400a6-ded1-40b8-95d2-a263d05c30ce,Rosso d’Asia,3
ecc462e1-5041-43ca-94c3-c2bfc9b3215e,"""PG Rosa"" Pinot grigio",2
2a62eecd-b0cd-4395-9f8c-7c912a208be2,"Beefsteak club mendoza, Argentina, malbec ",4
f8c400a6-ded1-40b8-95d2-a263d05c30ce,Blanc del Noirs,2
ecc462e1-5041-43ca-94c3-c2bfc9b3215e,Traminer Komjanc,3
36fec3ea-e183-491d-b65a-6c7ac90fafa5,Le Premier,4
f8c400a6-ded1-40b8-95d2-a263d05c30ce,Bitornino ,5
2a62eecd-b0cd-4395-9f8c-7c912a208be2,Chateauneuf du pape,5
f8c400a6-ded1-40b8-95d2-a263d05c30ce,Montepulciano 60,1
dcd16582-14d2-4e00-a024-9b5886d29b29,Novecento raices,4
f8c400a6-ded1-40b8-95d2-a263d05c30ce,Bricco Riva Bianca ,3
bc79b0e3-064d-4240-86de-e86499f577e8,"Le Fay d'Homme .Muscadet, France",3
ecc462e1-5041-43ca-94c3-c2bfc9b3215e,Pinot nero dedica Komjanc,4
f8c400a6-ded1-40b8-95d2-a263d05c30ce,Barolo,2
f8c400a6-ded1-40b8-95d2-a263d05c30ce,Taurasi,3
bec96c0b-5b0b-4992-8756-e0d3b704afb5,Aspromonte,5
2a62eecd-b0cd-4395-9f8c-7c912a208be2,Pinot noir provincial Di pavia rose,5
36fec3ea-e183-491d-b65a-6c7ac90fafa5,Pinot Grigio,3
f8c400a6-ded1-40b8-95d2-a263d05c30ce,Bolgheri Superiore Sondraia,3
4a3e010a-0761-48d4-90c1-b2905e0b7b4a,Voysey pinot gris,4
13016d41-00bd-411c-83f5-2b95691696b7,Schioppettino,4
4eb7031c-da00-48f4-bc7f-0a1f1eda7cab,Pinotage,3
36fec3ea-e183-491d-b65a-6c7ac90fafa5,Susumaniello,4
0c0fb748-ee39-4687-b1a4-65044a48a02f,Vipra Rossa Umbria,3
