userId,feedback,wine
131a3994-a510-4ead-93d0-3d89f06b9602,neutral,sangiovese_red
131a3994-a510-4ead-93d0-3d89f06b9602,neutral,carmenere_red
131a3994-a510-4ead-93d0-3d89f06b9602,neutral,riesling_white
131a3994-a510-4ead-93d0-3d89f06b9602,neutral,chardonnay_white
131a3994-a510-4ead-93d0-3d89f06b9602,neutral,nebbiolo_red
131a3994-a510-4ead-93d0-3d89f06b9602,neutral,carmenere_red
131a3994-a510-4ead-93d0-3d89f06b9602,neutral,chardonnay_white
16e6321b-1dd8-4db0-a491-627055a20d1d,neutral,chardonnay_white
bffc7c74-ccf9-429b-a6a5-d7bc8a53441e,neutral,pinot_noir_rose
bffc7c74-ccf9-429b-a6a5-d7bc8a53441e,neutral,riesling_white
bffc7c74-ccf9-429b-a6a5-d7bc8a53441e,neutral,marsanne_white
97e19ee8-5d4a-4691-bdf0-a20f284d9f0a,neutral,negroamaro_red
690e6b1c-8af0-4a8b-b4a8-44030d7c7744,neutral,marsala_red
b9c85eb8-6c96-4601-b94b-9165a15a9bcc,neutral,cabernet_franc_red
b9c85eb8-6c96-4601-b94b-9165a15a9bcc,neutral,trebbiano_white
5628587a-4584-4654-af84-a7eb0bb9358e,neutral,sangiovese_red
5628587a-4584-4654-af84-a7eb0bb9358e,neutral,sangiovese_red
5628587a-4584-4654-af84-a7eb0bb9358e,neutral,carignan_red
5628587a-4584-4654-af84-a7eb0bb9358e,neutral,corvina_red
5628587a-4584-4654-af84-a7eb0bb9358e,neutral,chardonnay_white
16a4ee23-3ad8-4d24-9b76-14945a938dfe,neutral,chardonnay_white
05e760a5-ae55-4aa5-96e2-327e823e65c1,neutral,zinfandel_red
c32c970e-ee13-4f0e-a11c-a4071ee55779,neutral,corvina_red
c32c970e-ee13-4f0e-a11c-a4071ee55779,neutral,carmenere_red
756af75c-e7a7-43bc-b800-a76802189fff,neutral,zinfandel_rose
756af75c-e7a7-43bc-b800-a76802189fff,neutral,gamay_red
756af75c-e7a7-43bc-b800-a76802189fff,neutral,zinfandel_rose
756af75c-e7a7-43bc-b800-a76802189fff,neutral,pinot_noir_red
08621e92-1cd2-4c39-a95b-e27662f92e92,neutral,chardonnay_white
891a4a64-749e-4c36-985e-9ddc0d0296b3,neutral,carmenere_red
891a4a64-749e-4c36-985e-9ddc0d0296b3,neutral,carmenere_red
221141e3-beee-4d37-ab70-5bdb551e1b55,neutral,prosecco_white
8b9c3b9d-198c-4762-a140-05fed83e1f4d,neutral,trebbiano_white
8b9c3b9d-198c-4762-a140-05fed83e1f4d,neutral,nebbiolo_red
6d6ab5c0-1149-4f79-8e45-af00cfefc891,neutral,barbera_red
6d6ab5c0-1149-4f79-8e45-af00cfefc891,neutral,zinfandel_rose
38faedf1-084f-446a-b3f5-0a83d95f8fe6,neutral,moscato_white
0ee98838-6834-41fd-8d41-fedb97551db1,neutral,viognier_white
6ae39a62-5a8f-42bb-b7c5-c3106d604a6b,neutral,nebbiolo_red
ab69fad2-eec3-475c-b0f2-8426a8ba75d9,neutral,carmenere_red
559e7fc4-97ec-43d4-a74d-f6264bfb97b8,neutral,sangiovese_red
559e7fc4-97ec-43d4-a74d-f6264bfb97b8,neutral,chardonnay_white
8db3e63e-26d2-4e6b-90ee-6e8473d2e1fb,neutral,pinot_blanc_white
70d39140-a484-440a-8114-3d43a208759d,neutral,sangiovese_red
70d39140-a484-440a-8114-3d43a208759d,neutral,zinfandel_red
c898d4bf-ed62-4dc0-86a6-da46bbfed6b2,neutral,carmenere_red
c898d4bf-ed62-4dc0-86a6-da46bbfed6b2,neutral,merlot_red
c08a8782-eac8-4c96-b682-afca7e8baa23,neutral,corvina_red
c08a8782-eac8-4c96-b682-afca7e8baa23,neutral,sangiovese_red
